SYMBOL,NAME_OF_COMPANY,SERIES,DATE_OF_LISTING,PAID_UP_VALUE,ISIN_NUMBER,FACE_VALUE
PHANTOMFX,Phantom Digital Effects Limited,ST,21-Oct-22,10,INE0MLZ01019,10,
FROG,Frog Cellsat Limited,SM,13-Oct-22,10,INE385O01018,10,
SWASTIK,Swastik Pipe Limited,SM,12-Oct-22,10,INE0DGC01025,10,
LLOYDS,Lloyds Luxuries Limited,SM,11-Oct-22,10,INE0DTQ01028,10,
QMSMEDI,QMS Medical Allied Services Limited,SM,11-Oct-22,10,INE0FMW01018,10,
CMRSL,Cyber Media Research & Services Limited,SM,10-Oct-22,10,INE075Z01011,10,
KANDARP,Kandarp Digi Smart BPO Limited,SM,28-Sep-22,10,INE0MOT01016,10,
MAKS,Maks Energy Solutions India Limited,SM,28-Sep-22,10,INE0CDK01019,10,
CLOUD,Varanium Cloud Limited,SM,27-Sep-22,10,INE0JOO01013,10,
ANNAPURNA,Annapurna Swadisht Limited,SM,27-Sep-22,10,INE0MGM01017,10,
ISHAN,Ishan International Limited,SM,22-Sep-22,10,INE0LCW01017,10,
TAPIFRUIT,Tapi Fruit Processing Limited,SM,22-Sep-22,10,INE0M7001010,10,
SABAR,Sabar Flex India Limited,SM,21-Sep-22,10,INE0DZ101013,10,
MEGAFLEX,Mega Flex Plastics Limited,SM,19-Sep-22,10,INE0G1D01014,10,
VIVIANA,Viviana Power Tech Limited,SM,16-Sep-22,10,INE0MEG01014,10,
AMEYA,Ameya Precision Engineers Limited,SM,08-Sep-22,10,INE0KT901015,10,
KORE,Jay Jalaram Technologies Limited,SM,08-Sep-22,10,INE0J6801010,10,
JFLLIFE,Jfl Life Sciences Limited,SM,08-Sep-22,10,INE0LA901015,10,
VEEKAYEM,Veekayem Fashion and Apparels Limited,SM,22-Aug-22,10,INE0KTW01013,10,
USASEEDS,Upsurge Seeds Of Agriculture Limited,SM,11-Aug-22,10,INE0CBM01019,10,
AGNI,Agni Green Power Limited,SM,01-Aug-22,10,INE0LF301013,10,
SKP,SKP Bearing Industries Limited,SM,13-Jul-22,10,INE0KZA01016,10,
MWL,Mangalam Worldwide Limited,SM,11-Jul-22,10,INE0JYY01011,10,
KCK,Kck Industries Limited,SM,08-Jul-22,10,INE0J1E01019,10,
FIDEL,Fidel Softech Limited,SM,10-Jun-22,10,INE0LQQ01019,10,
RILINFRA,Rachana Infrastructure Limited,SM,10-Jun-22,10,INE02OY01016,10,
GSTL,Globesecure Technologies Limited,SM,02-Jun-22,10,INE00WS01056,10,
SONUINFRA,Sonu Infratech Limited,SM,13-May-22,10,INE0JZA01018,10,
LEMERITE,Le Merite Exports Limited,SM,09-May-22,10,INE0G1L01017,10,
JSLL,Jeena Sikho Lifecare Limited,SM,19-Apr-22,10,INE0J5801011,10,
KRISHNADEF,Krishna Defence and Allied Industries Limited,SM,06-Apr-22,10,INE0J5601015,10,
PROPEQUITY,P. E. Analytics Limited,SM,04-Apr-22,10,INE0KN801013,10,
KRISHIVAL,Empyrean Cashews Limited,SM,31-Mar-22,10,INE0GGO01015,10,
KNAGRI,KN Agri Resources Limited,SM,28-Mar-22,10,INE0KNW01016,10,
SWARAJ,Swaraj Suiting Limited,SM,28-Mar-22,10,INE0GMR01016,10,
COOLCAPS,Cool Caps Industries Limited,SM,24-Mar-22,10,INE0HS001010,10,
SPRL,Sp Refractories Limited,SM,22-Mar-22,10,INE0JW501011,10,
SHIGAN,Shigan Quantum Technologies Limited,SM,11-Mar-22,10,INE03KJ01013,10,
MADHAVBAUG,Vaidya Sane Ayurved Laboratories Limited,SM,23-Feb-22,10,INE0JR301013,10,
