id,dividendyear,quarter,symbol,name,dividendamount
295,2024,2,INFY,Infosys Limited,1120
296,2024,2,HAPPSTMNDS,Happiest Minds Technologies Limited,84.5
297,2024,2,ALKYLAMINE,Alkyl Amines Chemicals Limited,120
298,2024,2,TATAELXSI,Tata Elxsi Limited ,280
299,2024,2,TATAPOWER,Tata Power Company Limited,438
300,2024,2,TATASTEEL,TATA Steel Limited,417.6
301,2024,2,BAJFINANCE,Bajaj Finance Limited,108
302,2024,2,ITC,ITC Limited,1200
303,2024,2,EXIDEIND,Exide Industries Limited,100
304,2024,2,HCLTECH,HCL Technologies Limited,384
305,2024,2,BSOFT,BIRLASOFT LIMITED,536
306,2024,2,TCS,Tata Consultancy Services Limited,50
307,2024,2,AMARAJABAT,Amara Raja Batteries Limited,132.6
308,2024,2,REDINGTON,Redington Limited,217
309,2024,2,BALKRISIND,Praj Industries Limited,282
310,2024,2,UNITDSPR,United Spirits Limited ,105
311,2024,2,DEEPAKNTR,Deepak Nitrite Limited,247.5
312,2024,2,VEDL,Vedanta Limited,316
313,2024,2,PIDILITIND,Pidilite Industries Limited,208
314,2024,2,COFORGE,Coforge Limited,152
315,2024,2,DIVISLAB,Divi's Laboratories Limited,240
316,2024,2,INDIGOPNTS,Indigo Paints Limited ,24.5
317,2024,2,HEROMOTOCO,Hero MotoCorp Limited,80
318,2024,2,CDSL,Central Depository Services (India) Limited,308
319,2024,2,BHARTIARTL,Bharti Airtel Limited,328
320,2024,2,BERGEPAINT,BERGER PAINTS INDIA LTD.,126
321,2024,2,RECLTD,REC Limited,1435
322,2024,2,GMMPFAUDLR,GMM Pfaudler Limited,13
323,2024,2,EICHERMOT,Eicher Motors Limited,306
324,2024,2,IOC,Indian Oil Corporation Limited,3059
325,2024,2,IBLFL,IBL Finance Ltd,627
326,2024,2,BLACKROSE,Black Rose Industries Ltd,142
327,2024,2,PIIND,PI Industries Limited,27
328,2024,2,KPITTECH,KPIT Technologies Limited,119.6
329,2024,2,RELIANCE,Reliance Industries Limited,290
330,2024,2,BALKRISIND,Balkrishna Industries Limited,16
331,2024,2,JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,141.75
332,2024,2,ICICIBANK,ICICI Bank Limited,540
333,2024,2,ROUTE,ROUTE MOBILE LIMITED,26
334,2024,2,MSUMI,Motherson Sumi Wiring India Limited,448
335,2024,2,JUBLFOOD,Jubilant Foodworks Limited ,27.6
336,2024,2,NAUKRI,Info Edge (India) Limited,48
337,2024,2,MOTHERSON,Samvardhana Motherson International Limited,336
338,2024,2,ASTRAL,Astral Limited,27
339,2024,2,COALINDIA,Coal India Limited,525
340,2024,2,RECLTD,REC Limited,2005
341,2024,2,VEDL,Vedanta Limited,1640
342,2024,2,GARFIBRES,Garware Technical Fibres Limited,21
343,2024,3,DIXON,Dixon Technologies (India) Limited,70
344,2024,3,HLEGLAS,HLE Glascoat Limited,60.5
345,2024,3,OLECTRA,Olectra Greentech Limited,8
346,2024,3,HFCL,HFCL Ltd.,46.4
347,2024,3,PARADEEP,Paradeep Phosphates Limited,280
348,2024,3,BLACKROSE,Black Rose Industries Ltd,46.15
349,2024,3,TALBROSENG,Talbros Engineering Ltd,40
350,2024,3,COFORGE,Coforge Limited,152
351,2024,3,HCLTECH,HCL Technologies Limited,396
352,2024,3,TCS,Tata Consultancy Services Limited,50
353,2024,3,INFY,Infosys Limited,861
354,2024,3,BALKRISIND,Balkrishna Industries Limited,16
355,2024,3,BSOFT,BIRLASOFT LIMITED,350
356,2024,3,ROUTE,ROUTE MOBILE LIMITED,78
357,2024,3,COALINDIA,Coal India Limited,1843
358,2024,3,RECLTD,REC Limited,1196
359,2024,3,ASIANPAINT,Asian Paints Limited,22
360,2024,3,AMARAJABAT,Amara Raja Batteries Limited,174.9
361,2024,3,GMMPFAUDLR,GMM Pfaudler Limited,13
362,2024,3,DOLATALGO,Dolat Algotech Limited,21.5
363,2024,3,NAUKRI,Info Edge (India) Limited,48
364,2024,3,ASTRAL,Astral Limited,18
365,2024,3,HAPPSTMNDS,Happiest Minds Technologies Limited,65


