id,dividendyear,quarter,symbol,name,dividendamount
1,2021,1,BRITANNIA,Britannia Industries Limited,186
2,2021,1,SBILIFE,SBI Life Insurance Company Limited,22
3,2021,1,NESTLEIND,Nestle India Limited,90
4,2021,1,COFORGE,Coforge Limited,52
5,2021,1,BRITANNIA,Britannia Industries Limited,37
6,2021,1,TCS,Tata Consultancy Services Limited,15
7,2021,1,SBIN,State Bank of India,28
8,2021,1,HINDUNILVR,Hindustan Unilever Limited,34
9,2021,1,RELIANCE,Reliance Industries Limited,70
10,2021,1,INFY,Infosys Limited,210
11,2021,1,TPLPLASTEH,TPL Plastech Limited,50
12,2021,2,ASIANPAINT,Asian Paints Limited,29
13,2021,2,NAUKRI,Info Edge (India) Limited,8
14,2021,2,TATACHEM,Tata Chemicals Limited,200
15,2021,2,TATAPOWER,Tata Power Company Limited,147
16,2021,2,HAPPSTMNDS,Happiest Minds Technologies Limited,36
17,2021,2,HDFCAMC,HDFC Asset Management Company Limited,68
18,2021,2,HDFCLIFE,HDFC Life Insurance Company Limited,12
19,2021,2,BAJFINANCE,Bajaj Finance Limited,50
20,2021,2,ALKYLAMINE,Alkyl Amines Chemicals Limited,48
21,2021,2,DRREDDY,Dr. Reddy's Laboratories Limited,50
22,2021,2,TCS,Tata Consultancy Services Limited,14
23,2021,2,DEEPAKNTR,Deepak Nitrite Limited,88
24,2021,2,HDFCBANK,HDFC Bank Limited,13
25,2021,2,BSOFT,BIRLASOFT LIMITED,140
26,2021,2,HEROMOTOCO,Hero MotoCorp Limited,35
27,2021,2,ROUTE,ROUTE MOBILE LIMITED,12
28,2021,2,KEC,KEC International Limited,12
29,2021,2,COROMANDEL,Coromandel International Limited,48
30,2021,2,GRANULES,Granules India Limited,19
31,2021,2,PIDILITIND,Pidilite Industries Limited,34
32,2021,2,ITC,ITC Limited,368
33,2021,2,GMMPFAUDLR,GMM Pfaudler Limited,4
34,2021,2,GRANULES,Granules India Limited,6
35,2021,2,COFORGE,Coforge Limited,78
36,2021,2,BALKRISIND,Balkrishna Industries Limited,8
37,2021,2,CIPLA,Cipla Limited,50
38,2021,2,PRAJIND,Praj Industries Limited,19
39,2021,2,ICICIBANK,ICICI Bank Limited,60
40,2021,2,DIVISLAB,Divi's Laboratories Limited,40
41,2021,2,STLTECH,Sterlite Technologies Limited,40
42,2021,2,GMMPFAUDLR,GMM Pfaudler Limited,2
43,2021,2,INDIAMART,Indiamart Intermesh Limited,15
44,2021,2,BERGEPAINT,BERGER PAINTS INDIA LTD.,33
45,2021,2,ASTRAL,Astral Limited,4
46,2021,2,INDUSINDBK,IndusInd Bank Limited,165
47,2021,2,JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,24
48,2021,2,PRINCEPIPE,Prince Pipes And Fittings Limited,18
49,2021,2,HLEGLAS,HLE Glascoat Limited,40
50,2021,2,MOTHERSON,Samvardhana Motherson International Limited,240
51,2021,2,GARFIBRES,Garware Technical Fibres Limited,10
52,2021,2,GLENMARK,Glenmark Pharmaceuticals Limited,12
53,2021,3,PIIND,PI Industries Limited,4
54,2021,3,HSCL,Himadri Speciality Chemical Limited,52
55,2021,3,DIXON,Dixon Technologies (India) Limited,9
56,2021,3,TCS,Tata Consultancy Services Limited,20
57,2021,3,HCLTECH,HCL Technologies Limited,1240
58,2021,3,INFY,Infosys Limited,480
59,2021,3,HINDUNILVR,Hindustan Unilever Limited,30
60,2021,3,TRIDENT,Trident Limited,18
61,2021,3,NESTLEIND,Nestle India Limited,110
62,2021,3,BSOFT,BIRLASOFT LIMITED,141
63,2021,3,HAPPSTMNDS,Happiest Minds Technologies Limited,40
64,2021,3,COFORGE,Coforge Limited,104
65,2021,3,GMMPFAUDLR,GMM Pfaudler Limited,2
66,2021,3,PRINCEPIPE,Prince Pipes And Fittings Limited,15
67,2021,3,LAURUSLABS,Laurus Labs Limited,24
68,2021,3,BALKRISIND,Balkrishna Industries Limited,12
69,2021,3,GLENMARK,Glenmark Pharmaceuticals Limited,105
70,2021,3,ASTRAL,Astral Limited,7
71,2021,3,GRANULES,Granules India Limited,6
72,2021,4,NAUKRI,Info Edge (India) Limited,32
73,2021,4,WIPRO,Wipro Limited,15
74,2021,4,HCLTECH,HCL Technologies Limited,300
75,2021,4,TCS,Tata Consultancy Services Limited,42
76,2021,4,GREENPANEL,Greenpanel Industries Limited,48
77,2021,4,EXIDEIND,Exide Industries Limited,60
78,2021,4,COFORGE,Coforge Limited,104
79,2021,4,ROUTE,ROUTE MOBILE LIMITED,225
80,2021,4,GMMPFAUDLR,GMM Pfaudler Limited,2
81,2021,4,HEROMOTOCO,Hero MotoCorp Limited,60
82,2021,4,PIIND,PI Industries Limited,9
83,2021,4,ITC,ITC Limited,536
84,2021,4,JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,42
85,2021,4,BALKRISIND,Balkrishna Industries Limited,38
86,2021,4,VEDL,Vedanta Limited,130
