SYMBOL,NAME_OF_COMPANY,SERIES,DATE_OF_LISTING,PAID_UP_VALUE,ISIN_NUMBER,FACE_VALUE
PURPLEUTED,Purple United Sales Limited,ST,18-Dec-24,10,INE0P5R01014,10,
SFML,Supreme Facility Management Limited,ST,18-Dec-24,10,INE0U6N01014,10,
DHANLAXMI,Dhanlaxmi Crop Science Limited,ST,16-Dec-24,10,INE0V9V01010,10,
ETML,Emerald Tyre Manufacturers Limited,ST,12-Dec-24,10,INE0RHD01013,10,
GANESHIN,Ganesh Infraworld Limited,ST,06-Dec-24,5,INE0TVT01024,5,
AGARWALTUF,Agarwal Toughened Glass India Limited,SM,05-Dec-24,10,INE0P8X01016,10,
APEXECO,Apex Ecotech Limited,SM,04-Dec-24,10,INE0T4V01015,10,
ABHAPOWER,Abha Power and Steel Limited,SM,04-Dec-24,10,INE0UYG01015,10,
C2C,C2C Advanced Systems Limited,SM,03-Dec-24,10,INE0U7V01015,10,
RAJPUTANA,Rajputana Biodiesel Limited,SM,03-Dec-24,10,INE0VHU01019,10,
ITTL,Innovative Tyres & Tubes Limited,ST,02-Dec-24,10,INE070Y01023,10,
LAMOSAIC,Lamosaic India Limited,SM,29-Nov-24,10,INE0R0201012,10,
ONYX,Onyx Biotec Limited,SM,22-Nov-24,10,INE0WVU01018,10,
NEELAM,Neelam Linens and Garments (India) Limited,ST,18-Nov-24,10,INE0N1401016,10,
USHAFIN,Usha Financial Services Limited,SM,31-Oct-24,10,INE0LS001014,10,
UHTL,United Heat Transfer Limited,ST,29-Oct-24,10,INE0SMR01011,10,
DANISH,Danish Power Limited,SM,29-Oct-24,10,INE0YU901016,10,
OBSCP,OBSC Perfection Limited,ST,29-Oct-24,10,INE0YHV01011,10,
PREMIUM,Premium Plast Limited,SM,28-Oct-24,10,INE0M1F01011,10,
FRESHARA,Freshara Agro Exports Limited,SM,24-Oct-24,10,INE0SFW01015,10,
LAKSHYA,Lakshya Powertech Limited,SM,23-Oct-24,10,INE0VZS01015,10,
PRANIK,Pranik Logistics Limited,SM,17-Oct-24,10,INE0VJG01014,10,
PARAMOUNT,Paramount Dye Tec Limited,SM,08-Oct-24,10,INE0TG801013,10,
HVAX,HVAX Technologies Limited,SM,07-Oct-24,10,INE0TO501019,10,
SAJHOTELS,Saj Hotels Limited,SM,07-Oct-24,10,INE00MT01022,10,
DIVYADHAN,Divyadhan Recycling Industries Limited,SM,04-Oct-24,10,INE0QYI01019,10,
SAHASRA,Sahasra Electronic Solutions Limited,SM,04-Oct-24,10,INE0RBQ01018,10,
FORGEAUTO,Forge Auto International Limited,SM,04-Oct-24,10,INE0YKW01013,10,
TECHERA,TechEra Engineering (India) Limited,ST,03-Oct-24,10,INE0JQS01019,10,
UNILEX,Unilex Colours and Chemicals Limited,SM,03-Oct-24,10,INE0B2801011,10,
THESL,Thinking Hats Entertainment Solutions Limited,ST,03-Oct-24,10,INE0SHE01019,10,
RAPPID,Rappid Valves (India) Limited,SM,30-Sep-24,10,INE0MVO01012,10,
WOL3D,Wol 3D India Limited,SM,30-Sep-24,10,INE0OO201011,10,
SDREAMS,S D Retail Limited,SM,27-Sep-24,10,INE0X6F01017,10,
PHOGLOBAL,Phoenix Overseas Limited,ST,27-Sep-24,10,INE0FPO01018,10,
BIKEWO,Bikewo Green Tech Limited,SM,27-Sep-24,10,INE0SQH01013,10,
AVIANSH,Avi Ansh Textile Limited,SM,27-Sep-24,10,INE0TFB01017,10,
KALANA,Kalana Ispat Limited,SM,26-Sep-24,10,INE0T0L01014,10,
PSFL,Paramount Speciality Forgings Limited,SM,25-Sep-24,10,INE0Q6001012,10,
ENVIRO,Envirotech Systems Limited,SM,24-Sep-24,10,INE0SUH01015,10,
OSELDEVICE,Osel Devices Limited,SM,24-Sep-24,10,INE0RMF01018,10,
PELATRO,Pelatro Limited,SM,24-Sep-24,10,INE0VG601013,10,
DECCANTRAN,Deccan Transcon Leasing Limited,ST,24-Sep-24,10,INE0S7C01019,10,
EXCELLENT,Excellent Wires and Packaging Limited,SM,19-Sep-24,10,INE0Y4801011,10,
INNOMET,Innomet Advanced Materials Limited,SM,18-Sep-24,10,INE0S1D01010,10,
SPPPOLY,SPP Polymer Limited,ST,17-Sep-24,10,INE0QR801013,10,
GAJANAND,Gajanand International Limited,ST,16-Sep-24,10,INE0QTE01018,10,
AUSL,Aditya Ultra Steel Limited,SM,16-Sep-24,10,INE01YQ01013,10,
SHUBHSHREE,Shubhshree Biofuels Energy Limited,ST,16-Sep-24,10,INE0UL701015,10,
VIESL,Vision Infra Equipment Solutions Limited,SM,13-Sep-24,10,INE0TR001017,10,
MYMUDRA,My Mudra Fincorp Limited,SM,12-Sep-24,10,INE0RVQ01016,10,
NAMOEWASTE,Namo eWaste Management Limited,ST,11-Sep-24,10,INE08NZ01012,10,
JEYYAM,Jeyyam Global Foods Limited,SM,09-Sep-24,5,INE0RXB01022,5,
BOSS,Boss Packaging Solutions Limited,ST,06-Sep-24,10,INE0QNI01012,10,
AERON,Aeron Composite Limited,SM,04-Sep-24,10,INE0WL801011,10,
